epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.1836,1.78322,6.7946,2.02269,0,0,0,0,0,569.099,0,1.2e-06,1.2e-06,1.2e-06
2,56.9254,1.90902,7.20597,2.19056,0,0,0,0,0,534.081,0,2.74456e-06,2.74456e-06,2.74456e-06
3,84.175,1.86211,6.67918,2.15611,0,0,0,0,0,469.521,0,4.22576e-06,4.22576e-06,4.22576e-06
4,112.771,1.90451,6.67719,2.11914,0,0,0,0,0,389.073,0,5.6436e-06,5.6436e-06,5.6436e-06
5,140.2,1.88274,6.10875,2.06113,0,0,0,0,0,342.746,0,6.99808e-06,6.99808e-06,6.99808e-06
6,168.63,1.82823,6.09949,2.06003,0,0,0,0,0,296.777,0,8.2892e-06,8.2892e-06,8.2892e-06
7,196.514,1.83124,6.12273,2.04725,0,0,0,0,0,256.391,0,9.51696e-06,9.51696e-06,9.51696e-06
8,224.767,1.67882,6.00141,1.95184,0,0,0,0,0,228.735,0,1.06814e-05,1.06814e-05,1.06814e-05
9,254.222,1.81114,5.77881,1.96351,0,0,0,0,0,211.5,0,1.17824e-05,1.17824e-05,1.17824e-05
10,282.719,1.67843,5.66971,1.92285,0,0,0,0,0,199.806,0,1.28201e-05,1.28201e-05,1.28201e-05
11,312.184,1.75532,5.48542,1.93458,0,0,0,0,0,196.998,0,1.37944e-05,1.37944e-05,1.37944e-05
12,342.164,1.60844,5.14204,1.81002,0,0,0,0,0,195.692,0,1.47054e-05,1.47054e-05,1.47054e-05
13,368.897,1.66393,5.18731,1.89509,0,0,0,0,0,195.643,0,1.5553e-05,1.5553e-05,1.5553e-05
14,395.555,1.6235,5.17725,1.86183,0,0,0,0,0,194.689,0,1.63372e-05,1.63372e-05,1.63372e-05
15,422.347,1.5493,5.07613,1.87871,0,0,0,0,0,193.731,0,1.70581e-05,1.70581e-05,1.70581e-05
16,449.106,1.53505,4.78308,1.80586,0,0,0,0,0,194.347,0,1.77156e-05,1.77156e-05,1.77156e-05
17,475.902,1.59652,4.55876,1.88146,0,0,0,0,0,198.868,0,1.83098e-05,1.83098e-05,1.83098e-05
18,503.066,1.4551,4.76227,1.78774,0,0,0,0,0,211.751,0,1.88406e-05,1.88406e-05,1.88406e-05
19,530.771,1.56719,4.41105,1.8471,0,0,0,0,0,218.789,0,1.9308e-05,1.9308e-05,1.9308e-05
20,559.503,1.4873,4.29453,1.74896,0,0,0,0,0,226.215,0,1.97121e-05,1.97121e-05,1.97121e-05
21,588.254,1.47304,4.24507,1.75353,0,0,0,0,0,244.237,0,2.00528e-05,2.00528e-05,2.00528e-05
22,617.156,1.47337,3.93185,1.67159,0,0,0,0,0,244.507,0,2.03302e-05,2.03302e-05,2.03302e-05
